example_idx,age,work_class,education,education_num,marital_status,occupation,role_in_family,capital_gain,work_hours_per_week,gender,race,true_label,ans_1,ans_2,ans_3,ans_4,ans_5,ans_6,ans_7,ans_8,ans_9,ans_10,ans_11,worker_id_1,worker_id_2,worker_id_3,worker_id_4,worker_id_5,worker_id_6,worker_id_7,worker_id_8,worker_id_9,worker_id_10,worker_id_11
0,44,Self-employed (not inc.),High-school-grad,9,Civilian spouse,Sales,Wife,0,40,Female,White,1,1,3,2,3,1,1,1,1,4,1,2,worker_150,worker_96,worker_292,worker_208,worker_637,worker_611,worker_571,worker_346,worker_253,worker_640,worker_103
1,49,Self-employed (not inc.),Bachelors,13,Civilian spouse,Sales,Husband,0,60,Male,White,1,4,4,3,3,3,3,1,2,4,3,3,worker_5,worker_294,worker_136,worker_80,worker_533,worker_224,worker_184,worker_444,worker_318,worker_272,worker_270
2,39,Private,Bachelors,13,Civilian spouse,Sales,Husband,7298,40,Male,White,1,3,4,4,4,4,3,3,3,3,4,3,worker_443,worker_640,worker_421,worker_571,worker_630,worker_213,worker_575,worker_333,worker_282,worker_232,worker_473
3,64,Self-employed (not inc.),High-school-grad,9,Civilian spouse,Craft-repair,Husband,0,30,Male,White,1,3,2,4,3,2,2,2,1,1,2,2,worker_14,worker_548,worker_253,worker_342,worker_383,worker_571,worker_640,worker_181,worker_73,worker_527,worker_310
4,47,Federal-gov,High-school-grad,9,Civilian spouse,Adm-clerical,Husband,0,40,Male,White,1,2,3,2,3,3,2,2,3,3,1,3,worker_271,worker_55,worker_640,worker_577,worker_171,worker_286,worker_629,worker_391,worker_325,worker_528,worker_620
5,46,Private,Bachelors,13,Civilian spouse,Other-service,Husband,0,30,Male,White,1,3,3,3,2,3,2,2,4,3,4,4,worker_419,worker_284,worker_316,worker_640,worker_88,worker_185,worker_293,worker_109,worker_598,worker_602,worker_421
6,34,Local-gov,Bachelors,13,Civilian spouse,Transport-moving,Husband,0,40,Male,White,1,3,3,4,3,2,2,2,3,3,3,2,worker_640,worker_55,worker_173,worker_113,worker_253,worker_394,worker_42,worker_437,worker_474,worker_225,worker_134
7,37,Self-employed (not inc.),Prof-school,15,Civilian spouse,Prof-specialty,Husband,99999,50,Male,White,1,3,3,4,4,2,4,4,4,3,4,2,worker_599,worker_301,worker_640,worker_546,worker_253,worker_316,worker_646,worker_649,worker_400,worker_479,worker_611
8,40,Private,Some-college,10,Civilian spouse,Tech-support,Child,0,40,Female,White,1,2,2,3,3,2,2,2,2,1,3,3,worker_413,worker_640,worker_169,worker_211,worker_220,worker_253,worker_55,worker_64,worker_543,worker_464,worker_173
9,36,Private,Bachelors,13,Civilian spouse,Prof-specialty,Husband,0,45,Male,White,1,2,4,2,3,4,4,3,4,4,4,3,worker_576,worker_110,worker_606,worker_529,worker_621,worker_581,worker_477,worker_418,worker_454,worker_539,worker_86
